ParticipantID,V6,V8,V9,V10,Consent,ConditionACTIVE1PASSIVE2,ingVH_I1,ingVH_C1,ingVH_I2,ingVH_C2,ingVS_I1,ingVS_C1,ingVS_I2,ingVS_C2,ingPH_I1,ingPH_C1,ingPH_I2,ingPH_C2,ingPS_I1,ingPS_C1,ingPS_I2,ingPS_C2,edVH_I1,edVH_C1,edVH_I2,edVH_C2,edVS_I1,edVS_C1,edVS_I2,edVS_C2,edPH_I1,edPH_C1,edPH_I2,edPH_C2,edPS_I1,edPS_C1,edPS_I2,edPS_C2,EDU,EDUOTHER,ENGNATIVE,ENGYEARS,POL,REL,AGE_1_TEXT,ETHNIC,GENDER,COMMENTS,H_I_V,H_C_V,S_I_V,S_C_V,H_I_P,H_C_P,S_I_P,S_C_P,INJ_V,INJ_P,CON_P,CON_V,CON,INJ
R_3p6jQsVDf0GxGbB,71.92.195.184,7/1/2016 20:21:14,7/1/2016 20:23:01,1,1,1,7,2,7,2,7,3,7,3,7,7,7,7,7,7,7,7, , , , , , , , , , , , , , , , ,4, ,2,12,7,3,25,Korean,2,NA,7,2,7,3,7,7,7,7,7,7,7,2.5,4.75,7
R_6LijxuZ5MvffCrn,162.2.91.139,7/1/2016 18:00:55,7/1/2016 18:02:54,1,1,1,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7, , , , , , , , , , , , , , , , ,4, ,1, ,6,1,60,white,2,NO,0,0,0,0,7,7,7,7,0,7,7,0,3.5,3.5
R_3flagwaVmA5mggV,66.87.114.163,7/1/2016 15:11:43,7/1/2016 15:14:21,1,1,1,0,0,0,0,0,0,0,0,6,5,7,5,7,7,7,7, , , , , , , , , , , , , , , , ,3, ,1, ,4,5,34,white,2, ,0,0,0,0,6.5,5,7,7,0,6.75,6,0,3,3.375
R_2bT6x2sCBGVGjgt,73.34.24.178,7/1/2016 15:34:12,7/1/2016 15:35:58,1,1,2, , , , , , , , , , , , , , , , ,6,0,3,0,7,4,7,5,0,0,0,0,0,0, , ,3, ,1, ,5,1,35,white,2,"Thank you, have a great 4th of July!",4.5,0,7,4.5,0,0,0,0,5.75,0,0,2.25,1.125,2.875
R_3NIoWR3UCvxGrcf,99.122.29.61,7/1/2016 14:54:28,7/1/2016 15:00:15,1,1,2, , , , , , , , , , , , , , , , ,7,2,4,0,5,7,7,7,0,0, , ,0,4,1,5,3, ,1, ,5,5,57,White American,2,None,5.5,1,6,7,0,0,.5,4.5,5.75,.25,2.25,4,3.125,3
R_2D0RD6kDiL6Xpa1,63.143.195.143,7/1/2016 15:47:03,7/1/2016 15:51:30,1,1,2, , , , , , , , , , , , , , , , ,5,0,5,4,7,7,7,7,1,0, , ,0,0,0,0,4, ,1, ,7,1,24,Black,2, ,5,2,7,7,1,0,0,0,6,.5,0,4.5,2.25,3.25
R_SAJ97FrH8Gu38pr,173.19.165.251,7/1/2016 18:47:57,7/1/2016 18:49:19,1,1,2, , , , , , , , , , , , , , , , ,7,4,6,2,5,6,6,7,0,7,0,5,0,6, , ,4, ,1, ,2,1,28,Caucasian,1, ,6.5,3,5.5,6.5,0,6,0,6,6,0,6,4.75,5.375,3
R_1DG5cH94ZRnbHek,66.35.113.122,7/1/2016 15:13:25,7/1/2016 15:15:23,1,1,2, , , , , , , , , , , , , , , , ,7,6,7,6,6,6,6,6,1,3,2,3, , ,2,2,5, ,1, ,4,1,38,White,2, ,7,6,6,6,1.5,3,2,2,6.5,1.75,2.5,6,4.25,4.125
R_UXYi43RFf3MhSJX,198.209.9.250,7/1/2016 18:16:16,7/1/2016 18:18:23,1,1,2, , , , , , , , , , , , , , , , ,4,3,5,5,7,7,7,7,5,5,4,5,6,7, , ,3, ,1, ,7,1,21,White,1, ,4.5,4,7,7,4.5,5,6,7,5.75,5.25,6,5.5,5.75,5.5
R_1cTIt1MeoMVK2Kc,75.140.78.44,7/1/2016 15:08:30,7/1/2016 15:10:47,1,1,2, , , , , , , , , , , , , , , , ,7,3,7,2,4,5,6,4,1,3,2,6,2,5, , ,4, ,1, ,3,3,25,Asian,2, ,7,2.5,5,4.5,1.5,4.5,2,5,6,1.75,4.75,3.5,4.125,3.875
R_2dDNMNMwMcqJF58,68.36.96.80,7/1/2016 16:20:25,7/1/2016 16:22:07,1,1,2, , , , , , , , , , , , , , , , ,2,5,4,5,4,4,6,6,4,4, , ,5,7,4,6,5, ,1, ,4,5,25, ,1,no,3,5,5,5,4,4,4.5,6.5,4,4.25,5.25,5,5.125,4.125
R_22XLQEMcaWN7R9k,108.17.8.121,7/1/2016 15:42:00,7/1/2016 15:43:11,1,1,2, , , , , , , , , , , , , , , , ,6,5,7,5,5,7,4,7,6,5,7,6,5,7, , ,4, ,1, ,5,1,34,white,1, ,6.5,5,4.5,7,6.5,5.5,5,7,5.5,5.75,6.25,6,6.125,5.625
R_w6iATI2UvjCMo2R,73.247.192.128,7/1/2016 14:58:59,7/1/2016 15:00:41,1,1,2, , , , , , , , , , , , , , , , ,7,7,7,7,5,5,7,7,4,7,5,7, , ,5,7,3, ,1, ,4,7,37,WHITE,2, ,7,7,6,6,4.5,7,5,7,6.5,4.75,7,6.5,6.75,5.625
R_W2QVIaa5u4tx4Jj,172.74.79.16,7/1/2016 15:34:12,7/1/2016 15:35:52,1,1,2, , , , , , , , , , , , , , , , ,6,2,7,2,3,6,3,6,0,7,0,6,0,7,0,7,3, ,1, ,4,5,21,white,1, ,6.5,2,3,6,0,6.5,0,7,4.75,0,6.75,4,5.375,2.375
R_VQ4adKnG4nYW2dj,75.133.151.183,7/1/2016 17:41:44,7/1/2016 17:43:47,1,1,2, , , , , , , , , , , , , , , , ,6,2,7,0,6,6,5,4,0,7, , ,0,7,0,7,3, ,1, ,6,1,31,White,2,Thank you,6.5,1,5.5,5,0,7,0,7,6,0,7,3,5,3
R_VJ7TLjMg1KrgHVD,72.239.22.187,7/1/2016 15:57:37,7/1/2016 15:59:21,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,0,6,0,7,0,0,7,0,7,0,7,0,7,5, ,1, ,4,1,63,W,1, ,7,0,6.5,0,0,7,0,7,6.75,0,7,0,3.5,3.375
R_0I0SZ0kCjCan4Db,162.195.226.150,7/1/2016 15:13:32,7/1/2016 15:26:23,1,1,2, , , , , , , , , , , , , , , , ,4,1,6,4,2,5,6,6,1,6, , ,3,7,1,7,2, ,1, ,5,2,47,caucasian,1, ,5,2.5,4,5.5,1,6,2,7,4.5,1.5,6.5,4,5.25,3
R_1NgNTQu369bYPQi,96.42.220.251,7/1/2016 14:51:13,7/1/2016 14:53:08,1,1,2, , , , , , , , , , , , , , , , ,7,3,7,3,4,5,4,7,0,2,0,5, , ,0,4,5, ,1, ,6,1,28,White,1, ,7,3,4,6,0,3.5,0,4,5.5,0,3.75,4.5,4.125,2.75
R_85JWp4CvwyGcCpH,107.204.64.226,7/1/2016 16:44:19,7/1/2016 16:50:32,1,1,2, , , , , , , , , , , , , , , , ,6,2,7,2,4,5,5,6,1,6,2,5, , ,1,6,5, ,1, ,5,2,24,American,1, ,6.5,2,4.5,5.5,1.5,5.5,1,6,5.5,1.25,5.75,3.75,4.75,3.375
R_3CJk1pINBdFe1KF,72.160.21.217,7/1/2016 14:50:30,7/1/2016 14:52:26,1,1,2, , , , , , , , , , , , , , , , ,7,5,7,5,5,5,7,6, , ,1,2,0,1,1,2,3, ,1, ,3,1,23,caucasian,2, ,7,5,6,5.5,1,2,.5,1.5,6.5,.75,1.75,5.25,3.5,3.625
R_3Hw9sYSuGtwLn8U,108.29.64.71,7/1/2016 16:23:17,7/1/2016 16:25:28,1,1,2, , , , , , , , , , , , , , , , ,3,0,4,1,5,2,6,3,0,0,0,0,0,3,0,3,4, ,1, ,4,1,28,Unknown,1, ,3.5,.5,5.5,2.5,0,0,0,3,4.5,0,1.5,1.5,1.5,2.25
R_wWQcTO4pT47oqad,108.54.154.59,7/1/2016 19:20:52,7/1/2016 19:22:49,1,1,2, , , , , , , , , , , , , , , , ,4,1,6,5,7,7,7,7,4,0,6,4,7,7, , ,4, ,1, ,5,1,23,hispanic,2, ,5,3,7,7,5,2,7,7,6,6,4.5,5,4.75,6
R_1okabZjCh8sog2h,70.178.157.65,7/1/2016 19:42:36,7/1/2016 19:45:30,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,0,7,0,7,0,0,7,0,7,0,7,0,7,5, ,1, ,3,6,50,white,1,low paying for amount of questions,7,0,7,0,0,7,0,7,7,0,7,0,3.5,3.5
R_WxSaV08ixCXJmKd,12.130.116.143,7/1/2016 17:04:06,7/1/2016 17:06:33,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,0,7,1,7,0,0,6,0,7,0,7,0,7,4, ,1, ,2,6,50, ,1, ,7,0,7,.5,0,6.5,0,7,7,0,6.75,.25,3.5,3.5
R_3DoKNkWxjp8dhW9,96.28.67.248,7/1/2016 18:52:37,7/1/2016 18:54:04,1,1,2, , , , , , , , , , , , , , , , ,7,7,7,5,7,7,7,7,5,5, , ,5,4,7,6,5, ,1, ,7,1,28,White,1,Thanks!,7,6,7,7,5,5,6,5,7,5.5,5,6.5,5.75,6.25
R_BJKvmilM6zEXpFT,71.232.85.73,7/1/2016 16:38:56,7/1/2016 16:41:38,1,1,2, , , , , , , , , , , , , , , , ,6,3,7,3,5,3,7,3,0,6,0,6,0,6, , ,6, ,1, ,4,1,55,American,1, ,6.5,3,6,3,0,6,0,6,6.25,0,6,3,4.5,3.125
R_1DCsW2BnsMMYwb1,97.91.239.113,7/1/2016 18:27:40,7/1/2016 18:29:56,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,0,7,0,7,0, , ,1,7,0,0,1,7,5, ,1, ,7,1,53,caucasian,1,No.,7,0,7,0,1,7,.5,3.5,7,.75,5.25,0,2.625,3.875
R_e2Gj1V1b5FdSyxb,24.27.63.191,7/1/2016 18:05:16,7/1/2016 18:07:17,1,1,2, , , , , , , , , , , , , , , , ,7,7,7,7,7,7,7,7,0,7, , ,0,7,0,7,5, ,1, ,5,3,27,Black,2,no,7,7,7,7,0,7,0,7,7,0,7,7,7,3.5
R_32Maj3EXlI3NMO7,98.214.43.100,7/1/2016 14:49:39,7/1/2016 14:52:13,1,1,2, , , , , , , , , , , , , , , , ,5,6,5,5,6,6,6,7,0,4,0,4, , ,1,1,2, ,1, ,5,2,25,White American,1,none,5,5.5,6,6.5,0,4,1,1,5.5,.5,2.5,6,4.25,3
R_2TRIAnK1XlofoWy,73.78.212.72,7/1/2016 17:22:38,7/1/2016 17:28:29,1,1,2, , , , , , , , , , , , , , , , ,5,0,4,0,7,1,7,0, , ,5,7,4,7,4,7,3, ,1, ,4,1,32,White,1,no,4.5,0,7,.5,5,7,4,7,5.75,4.5,7,.25,3.625,5.125
R_23a7hvpbTW7oUQn,76.116.98.85,7/1/2016 18:36:01,7/1/2016 18:37:44,1,1,2, , , , , , , , , , , , , , , , ,7,7,7,5,7,7,7,7,5,5, , ,5,6,7,7,3, ,1, ,3,3,20,asian,1, ,7,6,7,7,5,5,6,6.5,7,5.5,5.75,6.5,6.125,6.25
R_DId7A5QGlsyPMOJ,155.135.55.233,7/1/2016 15:16:34,7/1/2016 15:17:46,1,1,2, , , , , , , , , , , , , , , , ,7,1,7,1,7,1,7,3,0,7,0,7, , ,0,7,5, ,1, ,7,1,33,Mexican,1, ,7,1,7,2,0,7,0,7,7,0,7,1.5,4.25,3.5
R_2fdDKiXPflAUMpU,71.252.242.194,7/1/2016 17:33:21,7/1/2016 17:35:43,1,1,2, , , , , , , , , , , , , , , , ,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,4, ,1, ,3,3,52,White,1, ,7,7,7,7,6,6,7,7,7,6.5,6.5,7,6.75,6.75
R_246sx79n0k9zGB8,192.189.128.14,7/1/2016 14:49:03,7/1/2016 14:51:07,1,1,2, , , , , , , , , , , , , , , , ,7,1,7,3,7,6,6,1,0,7,3,7,4,7,1,7,4, ,1, ,1,6,45,White,1,none,7,2,6.5,3.5,1.5,7,2.5,7,6.75,2,7,2.75,4.875,4.375
R_3G9eHwDDcMmgAcB,50.53.134.254,7/1/2016 19:16:07,7/1/2016 19:18:28,1,1,2, , , , , , , , , , , , , , , , ,7,7,6,4,6,4,6,5, , ,0,7,0,7,0,7,3, ,1, ,3,5,25,White,2,No.,6.5,5.5,6,4.5,0,7,0,7,6.25,0,7,5,6,3.125
R_1etl8jhmzbGPIDE,68.230.70.136,7/1/2016 19:59:37,7/1/2016 20:01:56,1,1,2, , , , , , , , , , , , , , , , ,7,7,7,7,7,7,7,7,4,3,0,0,0,0,0,0,3, ,1, ,5,4,25,Black,1,none,7,7,7,7,2,1.5,0,0,7,1,.75,7,3.875,4
R_29nsu0E9X1fV3Wg,69.118.202.81,7/1/2016 19:38:00,7/1/2016 19:40:51,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,2,7,7,7,0,0,7,0,7, , ,0,7,4, ,1, ,7,1,38,white/european,1, ,7,1,7,3.5,0,7,0,7,7,0,7,2.25,4.625,3.5
R_3g6fuzbAbsfCe1j,174.105.249.9,7/1/2016 16:11:12,7/1/2016 16:13:43,1,1,2, , , , , , , , , , , , , , , , ,6,4,5,7,5,6,5,6,0,7, , ,0,7,0,7,4, ,1, ,5,5,36,white,2, ,5.5,5.5,5,6,0,7,0,7,5.25,0,7,5.75,6.375,2.625
R_OJYeOmiF6SSRTXP,71.90.173.208,7/1/2016 17:31:54,7/1/2016 17:35:13,1,1,2, , , , , , , , , , , , , , , , ,6,7,6,7,7,7,7,7,1,7, , ,4,7,7,7,4, ,1, ,4,7,69,White/Caucasian,1,none,6,7,7,7,1,7,5.5,7,6.5,3.25,7,7,7,4.875
R_2aV9iEcopV17cEJ,72.191.119.225,7/1/2016 20:05:54,7/1/2016 20:07:16,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,0,7,1,7,0, , ,0,6,0,7,0,7,3, ,1, ,6,1,25,American,1, ,7,0,7,.5,0,6,0,7,7,0,6.5,.25,3.375,3.5
R_2sT2I1Ap4wd76Q3,76.167.192.97,7/1/2016 14:52:13,7/1/2016 14:55:01,1,1,2, , , , , , , , , , , , , , , , ,5,3,6,3,5,4,5,4,5,4,5,3,6,4,5,6,5, ,1, ,7,1,38,white,1, ,5.5,3,5,4,5,3.5,5.5,5,5.25,5.25,4.25,3.5,3.875,5.25
R_ezElUSdADh0xx4Z,108.79.43.27,7/1/2016 16:47:18,7/1/2016 16:50:23,1,1,2, , , , , , , , , , , , , , , , ,4,2,7,7,2,7,5,7, , ,1,1,1,7,1,7,3, ,1, ,6,6,19,Black,2, ,5.5,4.5,3.5,7,1,1,1,7,4.5,1,4,5.75,4.875,2.75
R_2AFRuMnb3LGkfUj,104.172.155.90,7/1/2016 17:57:58,7/1/2016 18:01:30,1,1,2, , , , , , , , , , , , , , , , ,5,2,6,0,7,2,7,2,1,5,1,3,2,5, , ,3, ,1, ,6,1,43,white,2,none,5.5,1,7,2,1,4,2,5,6.25,1.5,4.5,1.5,3,3.875
R_2P6znZvZFWwa4Kl,140.254.70.166,7/1/2016 15:09:20,7/1/2016 15:11:17,1,1,2, , , , , , , , , , , , , , , , ,5,1,6,0,7,0,6,0, , ,2,2,3,5,1,2,4, ,1, ,3,4,36,White,2, ,5.5,.5,6.5,0,2,2,2,3.5,6,2,2.75,.25,1.5,4
R_3CZAfoySjVCp8lr,75.38.199.122,7/1/2016 17:19:51,7/1/2016 17:22:44,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,0,7,0,7,0, , ,0,7,0,7,0,7,4, ,1, ,7,5,30,White,2, ,7,0,7,0,0,7,0,7,7,0,7,0,3.5,3.5
R_2fq8jTURhYbrZPY,108.40.120.191,7/1/2016 15:19:57,7/1/2016 15:21:41,1,1,2, , , , , , , , , , , , , , , , ,6,1,7,1,6,1,6,1,1,6,1,6, , ,1,7,4, ,1, ,4,5,27,Caucasian,2, ,6.5,1,6,1,1,6,1,7,6.25,1,6.5,1,3.75,3.625
R_1K84FCQMTHqLhXo,24.165.210.31,7/1/2016 18:26:22,7/1/2016 18:29:12,1,1,2, , , , , , , , , , , , , , , , ,6,6,6,6,6,6,6,6, , ,5,5,5,6,6,6,2, ,1, ,3,2,41,white,1, ,6,6,6,6,5,5,5.5,6,6,5.25,5.5,6,5.75,5.625
R_330ZqyLYKAYhys9,166.170.222.26,7/1/2016 16:17:28,7/1/2016 16:20:46,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,0,7,0,7,0,1,6, , ,3,7,1,7,2, ,1, ,3,5,55,white,2,Enjoyed the survey.,7,0,7,0,1,6,2,7,7,1.5,6.5,0,3.25,4.25
R_85ETP8jq0wv3ogV,73.81.155.50,7/1/2016 14:53:03,7/1/2016 15:06:08,1,1,2, , , , , , , , , , , , , , , , ,6,2,6,1,2,5,1,4,4,0,5,3,1,4,2,4,3, ,1, ,4,1,28,white,2,no,6,1.5,1.5,4.5,4.5,1.5,1.5,4,3.75,3,2.75,3,2.875,3.375
R_4Sim4Bs5UDfpA41,24.38.220.207,7/1/2016 18:41:22,7/1/2016 18:48:32,1,1,2, , , , , , , , , , , , , , , , ,5,1,6,5,6,0,5,3,0,0, , ,0,0,0,0,4, ,1, ,4,5,36,African American,1, ,5.5,3,5.5,1.5,0,0,0,0,5.5,0,0,2.25,1.125,2.75
R_RPIKAOX9vCW2gVP,162.199.227.108,7/1/2016 15:06:10,7/1/2016 15:07:48,1,1,2, , , , , , , , , , , , , , , , ,6,0,6,1,4,1,6,1,0,7,0,7,0,7,0,7,6, ,1, ,7,1,27,white,2, ,6,.5,5,1,0,7,0,7,5.5,0,7,.75,3.875,2.75
R_2wpHw75MMNikyVK,96.93.22.86,7/1/2016 16:36:59,7/1/2016 16:39:52,1,1,2, , , , , , , , , , , , , , , , ,4,4,6,3,3,6,4,7,4,6,4,3,3,4,4,7,5, ,1, ,2,6,28,White,1, ,5,3.5,3.5,6.5,4,4.5,3.5,5.5,4.25,3.75,5,5,5,4
R_8jGB2pxNRXFduCt,137.119.120.7,7/1/2016 16:02:12,7/1/2016 16:04:31,1,1,2, , , , , , , , , , , , , , , , ,6,4,7,7,7,7,7,7, , ,5,7,7,7,7,7,3, ,1, ,4,4,26,WHITE,1, ,6.5,5.5,7,7,5,7,7,7,6.75,6,7,6.25,6.625,6.375
R_27rqTrx8Okzuy7w,68.107.182.98,7/1/2016 14:49:19,7/1/2016 14:51:01,1,1,2, , , , , , , , , , , , , , , , ,3,4,4,1,3,7,4,7,0,7,0,7,0,7,3,7,4, ,1, ,4,1,24,white,1, ,3.5,2.5,3.5,7,0,7,1.5,7,3.5,.75,7,4.75,5.875,2.125
R_3J4PpxYrvuCXtvw,68.226.14.5,7/1/2016 16:35:20,7/1/2016 16:36:33,1,1,2, , , , , , , , , , , , , , , , ,6,6,5,5,5,5,6,5,2,5, , ,4,4,2,4,4, ,1, ,7,1,23,White,1,No,5.5,5.5,5.5,5,2,5,3,4,5.5,2.5,4.5,5.25,4.875,4
R_2akIgpWDoLK3rxi,72.199.69.139,7/1/2016 17:14:26,7/1/2016 17:15:55,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,0,7,0,7,0, , ,7,7,7,7,7,7,4, ,1, ,7,1,29,mexican american,2, ,7,0,7,0,7,7,7,7,7,7,7,0,3.5,7
R_6xqGjNwfjKDG1nr,24.46.57.15,7/1/2016 16:27:24,7/1/2016 16:31:39,1,1,2, , , , , , , , , , , , , , , , ,6,0,6,0,1,0,1,0,0,7,0,7,0,6, , ,3, ,1, ,1,2,34,Black,1,None,6,0,1,0,0,7,0,6,3.5,0,6.5,0,3.25,1.75
R_1o51X3JAX9T7drB,168.244.4.51,7/1/2016 15:19:51,7/1/2016 15:22:25,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,0,7,0,7,0,1,6,1,6, , ,1,6,3, ,1, ,5,2,48,White,2,no,7,0,7,0,1,6,1,6,7,1,6,0,3,4
R_3PCeddpVXp1H5tz,172.56.27.202,7/1/2016 17:46:10,7/1/2016 17:48:50,1,1,2, , , , , , , , , , , , , , , , ,5,1,7,2,4,1,4,2, , ,1,7,1,6,1,5,4, ,1, ,2,5,31,Caucasion,1,No comments.,6,1.5,4,1.5,1,7,1,5.5,5,1,6.25,1.5,3.875,3
R_1rIUBCtl2HipoIl,64.56.1.198,7/1/2016 17:18:03,7/1/2016 17:21:23,1,1,2, , , , , , , , , , , , , , , , ,5,1,5,1,5,1,5,3,5,0,3,2,4,2, , ,4, ,1, ,1,5,57,white,2,Not sure if the contaminated question meant how contaminated I thought the victim was or how contaminated the victim thought he/she was.,5,1,5,2,4,1,4,2,5,4,1.5,1.5,1.5,4.5
R_1lfKXJLefR9EiPJ,72.74.69.215,7/1/2016 15:56:19,7/1/2016 15:59:44,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,0,6,0,7,0,0,7, , ,0,6,0,7,4, ,1, ,7,5,45,Asian,2, ,7,0,6.5,0,0,7,0,6.5,6.75,0,6.75,0,3.375,3.375
R_3MzDLLc7oktnb23,68.100.47.122,7/1/2016 15:05:57,7/1/2016 15:07:55,1,1,2, , , , , , , , , , , , , , , , ,6,0,6,0,6,0,6,0,3,1,3,1,4,4,4,4,4, ,1, ,5,1,52,White,1,none,6,0,6,0,3,1,4,4,6,3.5,2.5,0,1.25,4.75
R_2cqDiodr5vfu6Oa,71.246.120.46,7/1/2016 14:56:22,7/1/2016 15:04:04,1,1,2, , , , , , , , , , , , , , , , ,6,5,7,4,5,5,5,6, , ,6,7,5,6,7,7,4, ,2,12,4,4,24,Hispanic,2,None,6.5,4.5,5,5.5,6,7,6,6.5,5.75,6,6.75,5,5.875,5.875
R_1nUTQTqfkVhOK41,71.168.68.109,7/1/2016 15:38:19,7/1/2016 15:39:50,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,0,7,0,7,0, , ,0,4,1,7,2,7,4, ,1, ,7,1,25,American,2,Thanks,7,0,7,0,0,4,1.5,7,7,.75,5.5,0,2.75,3.875
R_1pRNjRFSplc9mxj,98.243.133.200,7/1/2016 17:55:24,7/1/2016 17:56:33,1,1,2, , , , , , , , , , , , , , , , ,7,0,0,0,7,0,7,0, , ,7,0,0,6,2,0,4, ,1, ,7,1,33,white,1, ,3.5,0,7,0,7,0,1,3,5.25,4,1.5,0,.75,4.625
R_1oHfKikjPHRbkrG,38.109.215.6,7/1/2016 16:54:11,7/1/2016 16:57:16,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,0,5,0,5,0,0,7,0,7,0,7,0,7,4, ,1, ,6,1,62,Caucasian,1,No,7,0,5,0,0,7,0,7,6,0,7,0,3.5,3
